
Rank	Language	Percentage
1	English	57.2%
2	Russian	5.3%
3	Spanish	4.6%
4	French	4.1%
5	German	3.9%
6	Japanese	3.3%
7	Turkish	2.5%
8	Persian	2.1%
9	Portuguese	1.9%
10	Italian	1.7%
11	Chinese	1.6%
12	Vietnamese	1.3%
13	Dutch, Flemish	1.2%
14	Polish	1.2%
15	Arabic	0.8%
16	Korean	0.7%
17	Czech	0.6%
18	Indonesian	0.6%
19	Ukrainian	0.6%
20	Hebrew	0.5%
21	Greek	0.5%
22	Thai	0.5%
23	Swedish	0.4%
24	Romanian	0.4%
25	Hungarian	0.4%
26	Danish	0.3%
27	Slovak	0.2%
28	Finnish	0.2%
29	Serbian	0.2%
30	Bulgarian	0.2%
31	Norwegian Bokmål	0.1%
32	Croatian	0.1%
33	Lithuanian	0.1%
34	Slovenian	0.1%
35	Norwegian	0.1%
36	Catalan, Valencian	0.1%
37	Estonian	0.1%
38	Latvian	0.1%
39	Hindi	0.1%
